uuid,country_code,habitat,education_level,normalized_job_code,gender,age,age_group,title,normalized_job_title,country_l
f6e7ee00-deac-0133-4de8-0a81e8b09a82,AT,non-urban,no,,male,61 years old,40_65,,,Austria
54f0f1c0-dda1-0133-a559-0a81e8b09a82,AT,urban,high,861a9b9151e11362eb3c77ca914172d0,male,57 years old,40_65,Automatic Data Processing Planner,automatic data processing planner,Austria
83127080-da3d-0133-c74f-0a81e8b09a82,AT,urban,,,male,32 years old,26_39,,,Austria
15626d40-db13-0133-ea5c-0a81e8b09a82,AT,non-urban,high,049a3f3a2b5f85cb2971ba77ad66e10c,male,45 years old,40_65,Data Coordinator,data coordinator,Austria
24954a70-db98-0133-4a64-0a81e8b09a82,AT,urban,high,f4b2fb1aa40f661488e2782b6d57ad2f,female,41 years old,40_65,Database Developer,database developer,Austria
28583060-dbe2-0133-ff9c-0a81e8b09a82,AT,non-urban,high,27af8700f5577cec835acee2cb90a2ff,female,26 years old,26_39,Data Entry Specialist,data entry specialist,Austria
b50dbb80-da53-0133-8956-0a81e8b09a82,AT,urban,medium,,female,26 years old,26_39,,,Austria
dd743bb0-d9a5-0133-53b2-0a81e8b09a82,AT,urban,medium,c1b670eba9ccb65e7c99f7da116d5b9c,male,47 years old,40_65,Database Architect,database architect,Austria
4fde2370-da48-0133-3a42-0a81e8b09a82,AT,urban,medium,d71c4164c99a5f9bca773e755a72f40f,female,34 years old,26_39,Geographic Information Systems Database Administrator (GIS Database Administrator),geographic information systems database administrator gis database administrator,Austria
9949c4c0-da5f-0133-c832-0a81e8b09a82,AT,urban,no,,female,22 years old,juvenile,,,Austria
226cf850-db28-0133-c51a-0a81e8b09a82,AT,urban,high,2ee80cf30e2483dfe0947adc0428f8c5,male,49 years old,40_65,Crime Data Specialist,crime data specialist,Austria
69f1f400-dc5f-0133-ad9b-0a81e8b09a82,AT,urban,medium,,male,58 years old,40_65,,,Austria
2351fbe0-de4c-0133-0d58-0a81e8b09a82,AT,urban,low,897ef18a9321616495831a4b4b0c1bb2,female,25 years old,14_25,Data Communications Software Consultant,data communications software consultant,Austria
0f286c80-dd77-0133-7803-0a81e8b09a82,AT,non-urban,medium,,male,40 years old,40_65,,,Austria
fe54f360-db27-0133-c444-0a81e8b09a82,AT,non-urban,medium,,male,37 years old,26_39,,,Austria
960b1ce0-db01-0133-528c-0a81e8b09a82,AT,urban,medium,a003702c0cea282e17967772dd83de5e,male,48 years old,40_65,Data Security Analyst,data security analyst,Austria
d7912480-da41-0133-5bc1-0a81e8b09a82,AT,non-urban,low,,male,31 years old,26_39,,,Austria
d468c670-da40-0133-de39-0a81e8b09a82,AT,urban,high,,female,26 years old,26_39,,,Austria
76767d10-dd6c-0133-f56d-0a81e8b09a82,AT,urban,low,,female,17 years old,14_25,,,Austria
a96ed910-de55-0133-2582-0a81e8b09a82,AT,non-urban,medium,04c82eae29e1c4a30eac0710b74ab276,male,34 years old,26_39,Database Marketing Analyst,database marketing analyst,Austria
68eace50-db46-0133-97f7-0a81e8b09a82,AT,urban,low,fcaf4aac737e53ad24b9f32f08b8740f,male,27 years old,26_39,Computer or Data Processing Systems Consultant,computer or data processing systems consultant,Austria
aa342b50-dcc4-0133-f797-0a81e8b09a82,AT,urban,medium,d71c4164c99a5f9bca773e755a72f40f,male,40 years old,40_65,Geographic Information Systems Database Administrator (GIS Database Administrator),geographic information systems database administrator gis database administrator,Austria
638a8b80-da45-0133-e8e1-0a81e8b09a82,AT,urban,no,,female,15 years old,14_25,,,Austria
b1eb3870-decd-0133-d783-0a81e8b09a82,AT,non-urban,,3833bd699e7afe4665b595f282da0387,female,25 years old,14_25,Database Development and Administration Project Manager,database development and administration project manager,Austria
1c8ea6b0-de3d-0133-605b-0a81e8b09a82,AT,non-urban,high,19e384e977796c25780d8c28b12089c4,male,27 years old,26_39,"Naval Tactical Data System--Combat Information Center Watch Officer, General",naval tactical data systemcombat information center watch officer general,Austria
d31a5ea0-d969-0133-79f5-0a81e8b09a82,AT,urban,medium,,female,35 years old,26_39,,,Austria
2c1d6730-d970-0133-9161-0a81e8b09a82,AT,non-urban,medium,474b962c13632a04e42a546be4f11dbb,male,48 years old,40_65,Data Coder Operator,data coder operator,Austria
307ce090-daf9-0133-f4f2-0a81e8b09a82,AT,non-urban,low,,male,51 years old,40_65,,,Austria
388a2f20-db3b-0133-570e-0a81e8b09a82,AT,non-urban,medium,,female,28 years old,26_39,,,Austria
12cd5b70-dbd8-0133-0395-0a81e8b09a82,AT,non-urban,,dac2e921c1f887d9efc4c06fa33c1397,male,40 years old,40_65,Automatic Data Processing Customer Liaison (ADP Customer Liaison),automatic data processing customer liaison adp customer liaison,Austria
684ad570-de3f-0133-705d-0a81e8b09a82,AT,non-urban,low,,male,17 years old,juvenile,,,Austria
4c7898b0-dbdf-0133-993b-0a81e8b09a82,AT,urban,high,996da29c84f5eed00da40c230f4c4078,female,35 years old,26_39,Data Entry Representative,data entry representative,Austria
d911df50-d8f8-0133-b5b7-0a81e8b09a82,AT,urban,medium,,male,25 years old,14_25,,,Austria
11c61a10-de3d-0133-6041-0a81e8b09a82,AT,urban,high,fcaf4aac737e53ad24b9f32f08b8740f,male,42 years old,40_65,Computer or Data Processing Systems Consultant,computer or data processing systems consultant,Austria
ab8dbf10-da1c-0133-f11e-0a81e8b09a82,AT,non-urban,low,d71c4164c99a5f9bca773e755a72f40f,male,37 years old,26_39,Geographic Information Systems Database Administrator (GIS Database Administrator),geographic information systems database administrator gis database administrator,Austria
d13a4420-dee8-0133-05e2-0a81e8b09a82,AT,non-urban,medium,cc2b26cc436bea36bda3bdd7367c411a,female,22 years old,14_25,Data Processing Auditor,data processing auditor,Austria
9699d060-da5b-0133-0ae5-0a81e8b09a82,AT,urban,high,25fe195cbf915c0824fa6c44e6d0008c,female,45 years old,40_65,Maintenance Data Analyst,maintenance data analyst,Austria
d30d1810-da47-0133-15c3-0a81e8b09a82,AT,non-urban,low,,male,31 years old,26_39,,,Austria
9b532680-dc7d-0133-dcb5-0a81e8b09a82,AT,non-urban,low,76385cb24e831b3364279b9de5641d8f,male,47 years old,40_65,Automatic Data Processing Systems Security Specialist (ADP Systems Security),automatic data processing systems security specialist adp systems security,Austria
0a8ed740-de42-0133-f3a6-0a81e8b09a82,AT,urban,high,,male,33 years old,26_39,,,Austria
8d6c0630-dc17-0133-c863-0a81e8b09a82,AT,non-urban,low,,female,64 years old,40_65,,,Austria
1c4a0200-da22-0133-e797-0a81e8b09a82,AT,urban,medium,,male,26 years old,26_39,,,Austria
896c8bd0-dcc3-0133-f1c3-0a81e8b09a82,AT,non-urban,low,16b67d7f57698455aefbc1ae1b358b50,female,38 years old,26_39,Database Engineer,database engineer,Austria
db1bf110-d8d7-0133-8ee6-0a81e8b09a82,AT,non-urban,high,,female,35 years old,26_39,,,Austria
5441c1d0-d9a6-0133-55bc-0a81e8b09a82,AT,urban,high,b24ece3300d2f8ab34f9553e531183d6,male,55 years old,40_65,Data Processing Systems Project Planner,data processing systems project planner,Austria
a332d3f0-d8c9-0133-a2e5-0a81e8b09a82,AT,non-urban,low,,male,41 years old,40_65,,,Austria
581cec00-da3e-0133-cc6b-0a81e8b09a82,AT,urban,high,5db2c8d6539f983e1ca3d7c5b939e190,male,26 years old,26_39,Database Administration Associate,database administration associate,Austria
cf24ed60-da3f-0133-0034-0a81e8b09a82,AT,non-urban,high,861a9b9151e11362eb3c77ca914172d0,female,48 years old,40_65,Automatic Data Processing Planner,automatic data processing planner,Austria
03d9e160-da33-0133-b694-0a81e8b09a82,AT,urban,medium,36675c937946c8a4fc5de7d0b4c850de,male,40 years old,40_65,Data Warehousing Engineer,data warehousing engineer,Austria
c8ab8660-daf3-0133-b467-0a81e8b09a82,AT,urban,medium,,male,64 years old,40_65,,,Austria
5fb8d530-d8c5-0133-bfb5-0a81e8b09a82,AT,urban,high,,male,24 years old,juvenile,,,Austria
3f32d3c0-dbd5-0133-e559-0a81e8b09a82,AT,non-urban,low,,female,15 years old,14_25,,,Austria
c76aa3e0-dbf6-0133-0d62-0a81e8b09a82,AT,non-urban,,847165cfda6b1dc82ae22b967da8af2f,male,49 years old,40_65,Data Warehouse Developer,data warehouse developer,Austria
2fe1bc10-d8e2-0133-b57f-0a81e8b09a82,AT,non-urban,low,2ca138b991c50dc6696238e5ad800142,male,23 years old,14_25,Database Software Technician,database software technician,Austria
4cd8dfe0-d9a7-0133-5a1b-0a81e8b09a82,AT,urban,medium,,male,36 years old,26_39,,,Austria
d4ac22b0-dd5d-0133-dd11-0a81e8b09a82,AT,non-urban,,,female,46 years old,40_65,,,Austria
8c014b80-da49-0133-fd69-0a81e8b09a82,AT,non-urban,low,,male,27 years old,26_39,,,Austria
0e383540-dad5-0133-3be7-0a81e8b09a82,AT,urban,,,male,26 years old,26_39,,,Austria
e75d0b00-d9b1-0133-043b-0a81e8b09a82,AT,non-urban,medium,16b67d7f57698455aefbc1ae1b358b50,male,18 years old,14_25,Database Engineer,database engineer,Austria
9cd06680-da89-0133-519f-0a81e8b09a82,AT,urban,low,36675c937946c8a4fc5de7d0b4c850de,female,28 years old,26_39,Data Warehousing Engineer,data warehousing engineer,Austria
b3fc91b0-db3a-0133-505a-0a81e8b09a82,AT,non-urban,high,,female,35 years old,26_39,,,Austria
2eea8620-dbeb-0133-3910-0a81e8b09a82,AT,non-urban,low,36675c937946c8a4fc5de7d0b4c850de,female,44 years old,40_65,Data Warehousing Engineer,data warehousing engineer,Austria
b8616bf0-dd85-0133-dabb-0a81e8b09a82,AT,non-urban,low,cc2b26cc436bea36bda3bdd7367c411a,female,25 years old,14_25,Data Processing Auditor,data processing auditor,Austria
50e1e660-de3a-0133-589e-0a81e8b09a82,AT,urban,,,male,15 years old,14_25,,,Austria
66867d70-de2e-0133-fd0b-0a81e8b09a82,AT,urban,low,,male,20 years old,juvenile,,,Austria
9567fd10-da36-0133-f91e-0a81e8b09a82,AT,urban,no,,female,47 years old,40_65,,,Austria
e55a9780-d98f-0133-f7be-0a81e8b09a82,AT,urban,medium,,female,25 years old,juvenile,,,Austria
5eaadd90-da5a-0133-3d70-0a81e8b09a82,AT,non-urban,high,fcaf4aac737e53ad24b9f32f08b8740f,female,65 years old,40_65,Computer or Data Processing Systems Consultant,computer or data processing systems consultant,Austria
ca3f65f0-d92b-0133-3959-0a81e8b09a82,AT,non-urban,medium,049a3f3a2b5f85cb2971ba77ad66e10c,male,46 years old,40_65,Data Coordinator,data coordinator,Austria
c8394f00-d9f4-0133-fe97-0a81e8b09a82,AT,urban,low,,male,17 years old,14_25,,,Austria
dade6cd0-d9ff-0133-f2d6-0a81e8b09a82,AT,urban,medium,775190277a849cba701b306a7b374c0a,male,21 years old,14_25,Data Officer,data officer,Austria
437716a0-da35-0133-f2f5-0a81e8b09a82,AT,urban,low,022d0e3a40aa3e29bca6851542b27842,male,52 years old,40_65,Data Keyer,data keyer,Austria
8cc018b0-de4b-0133-0bcd-0a81e8b09a82,AT,urban,high,375017ea3a1a97f5ea676def873bb25b,male,26 years old,26_39,Geographic Information Systems Data Specialist (GIS Data Specialist),geographic information systems data specialist gis data specialist,Austria
7c2e43a0-da1a-0133-acda-0a81e8b09a82,AT,urban,low,,male,14 years old,juvenile,,,Austria
b9dbcc80-da2b-0133-481e-0a81e8b09a82,AT,urban,medium,,female,20 years old,juvenile,,,Austria
89977480-d9bc-0133-b906-0a81e8b09a82,AT,urban,no,1dd2fdc8a3981f2a1d8f0ca173952bb8,male,27 years old,26_39,Database Administration Manager,database administration manager,Austria
11cf6080-dc70-0133-8090-0a81e8b09a82,AT,urban,medium,e605336f5a43949cb6b18054fd1937f1,male,50 years old,40_65,Database Security Expert,database security expert,Austria
6aa21d60-deec-0133-20b3-0a81e8b09a82,AT,urban,,,male,20 years old,14_25,,,Austria
08159f30-dbf8-0133-74d8-0a81e8b09a82,AT,urban,low,800b621aab5dac18f4caef621fa43a49,female,34 years old,26_39,Data Systems Manager,data systems manager,Austria
5f772780-dd7d-0133-5e86-0a81e8b09a82,AT,urban,high,,female,19 years old,juvenile,,,Austria
996a7cf0-d98b-0133-a5d7-0a81e8b09a82,AT,non-urban,high,,female,18 years old,14_25,,,Austria
88d64de0-d9eb-0133-a46b-0a81e8b09a82,AT,non-urban,low,,female,38 years old,26_39,,,Austria
d2a9a650-d964-0133-4678-0a81e8b09a82,AT,urban,medium,d06dfb43c95b585a89ae556c9221b573,female,28 years old,26_39,Data Warehousing Manager,data warehousing manager,Austria
7a3932b0-da34-0133-8caf-0a81e8b09a82,AT,urban,high,,female,26 years old,26_39,,,Austria
54fcb0f0-da1c-0133-efb9-0a81e8b09a82,AT,non-urban,low,a12a16280e22220f9354333f6fe1b22a,male,46 years old,40_65,Geographic Information Systems Data Administrator (GIS Data Administrator),geographic information systems data administrator gis data administrator,Austria
c7ec06f0-d94c-0133-0451-0a81e8b09a82,AT,urban,low,477b53ef09d37f098d5ed74f47fcbaec,male,41 years old,40_65,Data Base Design Analyst,data base design analyst,Austria
1ab814f0-dba0-0133-a033-0a81e8b09a82,AT,non-urban,no,e2f68bf748aea2c7d2254550c0c92b23,male,43 years old,40_65,Director of Data Operations,director of data operations,Austria
994969a0-dca5-0133-b593-0a81e8b09a82,AT,non-urban,low,,female,26 years old,26_39,,,Austria
5f4a8e40-dbd4-0133-e162-0a81e8b09a82,AT,urban,high,45033f83b6e0309eca9bcd76917f15d0,female,29 years old,26_39,Database Modeler,database modeler,Austria
fc590270-de6a-0133-72af-0a81e8b09a82,AT,non-urban,low,,male,17 years old,juvenile,,,Austria
2152fc80-d9ae-0133-8d7e-0a81e8b09a82,AT,urban,medium,,female,23 years old,14_25,,,Austria
1d39d3e0-dbb6-0133-4ab6-0a81e8b09a82,AT,non-urban,medium,141ddda0f613da65a280521247de0e9f,female,36 years old,26_39,Data Administrator,data administrator,Austria
51f5c5c0-de40-0133-1e9a-0a81e8b09a82,AT,urban,low,3ddea1b52e520996e4ec9fb70dc8b86b,female,34 years old,26_39,Field Artillery Automated Tactical Data System Specialist,field artillery automated tactical data system specialist,Austria
18a82df0-d8ec-0133-a131-0a81e8b09a82,AT,non-urban,high,6408c0d7c7faa4ced47fbc8474698126,male,27 years old,26_39,Database Design Analyst,database design analyst,Austria
eef7cc30-de4e-0133-1438-0a81e8b09a82,AT,non-urban,low,07b7555fa790debaf5b04d1409ad5f11,male,15 years old,14_25,Database Security Administrator,database security administrator,Austria
296e4480-d8e9-0133-c3ad-0a81e8b09a82,AT,urban,,,male,14 years old,14_25,,,Austria
5984b3b0-d8e0-0133-b014-0a81e8b09a82,AT,urban,medium,36675c937946c8a4fc5de7d0b4c850de,male,21 years old,14_25,Data Warehousing Engineer,data warehousing engineer,Austria
81f6b2a0-de56-0133-2850-0a81e8b09a82,AT,urban,medium,d71c4164c99a5f9bca773e755a72f40f,female,24 years old,14_25,Geographic Information Systems Database Administrator (GIS Database Administrator),geographic information systems database administrator gis database administrator,Austria
19aab9f0-da4f-0133-ee5a-0a81e8b09a82,AT,urban,medium,a4d5b8b38f9513825d0d94a981ebe962,female,23 years old,juvenile,Database Manager,database manager,Austria
7baa89f0-da4e-0133-4b77-0a81e8b09a82,AT,non-urban,low,,female,14 years old,14_25,,,Austria
e1bf7cc0-dd32-0133-4401-0a81e8b09a82,AT,non-urban,medium,,female,30 years old,26_39,,,Austria
faf3d380-db0f-0133-0e2e-0a81e8b09a82,AT,non-urban,medium,5e93fd1a58c8a67b295f69d87d1a940d,male,47 years old,40_65,Geographic Information Systems Data Manager (GIS Data Manager),geographic information systems data manager gis data manager,Austria
4cef99b0-db53-0133-e7f4-0a81e8b09a82,AT,non-urban,low,897ef18a9321616495831a4b4b0c1bb2,male,46 years old,40_65,Data Communications Software Consultant,data communications software consultant,Austria
1325ab20-da32-0133-b1b6-0a81e8b09a82,AT,urban,,,female,30 years old,26_39,,,Austria
c5471020-dad1-0133-487e-0a81e8b09a82,AT,non-urban,low,122f24bc911a79c26ca66210557dda07,male,39 years old,26_39,Clinical Data Specialist,clinical data specialist,Austria
18a1c2e0-d8ed-0133-39aa-0a81e8b09a82,AT,urban,high,36675c937946c8a4fc5de7d0b4c850de,male,24 years old,juvenile,Data Warehousing Engineer,data warehousing engineer,Austria
ce058e90-daf1-0133-4389-0a81e8b09a82,AT,non-urban,low,,male,52 years old,40_65,,,Austria
2a8036a0-d963-0133-41de-0a81e8b09a82,AT,non-urban,low,,female,21 years old,14_25,,,Austria
80def8a0-da1e-0133-f7df-0a81e8b09a82,AT,non-urban,medium,,male,35 years old,26_39,,,Austria
baa9e380-da6a-0133-0cb9-0a81e8b09a82,AT,urban,low,19e384e977796c25780d8c28b12089c4,female,20 years old,14_25,"Naval Tactical Data System--Combat Information Center Watch Officer, General",naval tactical data systemcombat information center watch officer general,Austria
b189d930-dd84-0133-d6b4-0a81e8b09a82,AT,urban,high,76b0ba6af40991629e20dff36edd02a5,female,28 years old,26_39,Data Management Information Technology Specialist,data management information technology specialist,Austria
3174f780-d9f2-0133-2fe7-0a81e8b09a82,AT,urban,,07b7555fa790debaf5b04d1409ad5f11,male,29 years old,26_39,Database Security Administrator,database security administrator,Austria
93241690-da78-0133-8088-0a81e8b09a82,AT,urban,high,76385cb24e831b3364279b9de5641d8f,male,27 years old,26_39,Automatic Data Processing Systems Security Specialist (ADP Systems Security),automatic data processing systems security specialist adp systems security,Austria
28b98f30-dc00-0133-fa39-0a81e8b09a82,AT,non-urban,low,,female,27 years old,26_39,,,Austria
b8d60b60-d9f1-0133-2f47-0a81e8b09a82,AT,urban,high,775190277a849cba701b306a7b374c0a,male,47 years old,40_65,Data Officer,data officer,Austria
106af710-d93c-0133-bebf-0a81e8b09a82,AT,non-urban,medium,970eb38c7b3eb080466052ea994af189,male,20 years old,14_25,Internet Database Specialist,internet database specialist,Austria
98a08950-de43-0133-5c1f-0a81e8b09a82,AT,non-urban,medium,,female,39 years old,26_39,,,Austria
0b5eea70-dcdd-0133-3f72-0a81e8b09a82,AT,non-urban,medium,477b53ef09d37f098d5ed74f47fcbaec,female,29 years old,26_39,Data Base Design Analyst,data base design analyst,Austria
6ad69c40-da2f-0133-a693-0a81e8b09a82,AT,non-urban,low,,female,36 years old,26_39,,,Austria
ca9ed810-dcb8-0133-8981-0a81e8b09a82,AT,non-urban,low,cc2b26cc436bea36bda3bdd7367c411a,male,15 years old,14_25,Data Processing Auditor,data processing auditor,Austria
1aa394e0-de0f-0133-f6e2-0a81e8b09a82,AT,non-urban,high,2ca138b991c50dc6696238e5ad800142,male,53 years old,40_65,Database Software Technician,database software technician,Austria
5a5158c0-d9b3-0133-1b13-0a81e8b09a82,AT,non-urban,,cf2d4db3c258faa2499bdeeeed6721a5,male,33 years old,26_39,GPS Field Data Collector (Global Positioning System Field Data Collector),gps field data collector global positioning system field data collector,Austria
b98bbaf0-d96e-0133-06ef-0a81e8b09a82,AT,non-urban,no,a003702c0cea282e17967772dd83de5e,male,22 years old,juvenile,Data Security Analyst,data security analyst,Austria
59995f50-ddfe-0133-cae9-0a81e8b09a82,AT,urban,no,,male,47 years old,40_65,,,Austria
2456bcf0-d8dc-0133-9b88-0a81e8b09a82,AT,urban,low,,male,15 years old,juvenile,,,Austria
3b67ca50-d9c7-0133-9519-0a81e8b09a82,AT,urban,medium,,male,31 years old,26_39,,,Austria
aea66f50-da5c-0133-132d-0a81e8b09a82,AT,urban,,dac2e921c1f887d9efc4c06fa33c1397,male,31 years old,26_39,Automatic Data Processing Customer Liaison (ADP Customer Liaison),automatic data processing customer liaison adp customer liaison,Austria
f8f95970-da28-0133-75d2-0a81e8b09a82,AT,urban,medium,90c5430dbc810aec8695af2f1f4c42e8,male,29 years old,26_39,Electronic Data Processing Auditor (EDP Auditor),electronic data processing auditor edp auditor,Austria
f8fca690-de54-0133-23b6-0a81e8b09a82,AT,urban,medium,7bb15eefb19ed09c59349baad7e8469e,male,51 years old,40_65,Database Coordinator,database coordinator,Austria
a96ac600-da2f-0133-a7cd-0a81e8b09a82,AT,non-urban,medium,ec3d88b2fd083b870b8c5a603898ed39,male,30 years old,26_39,Databases Computer Consultant,databases computer consultant,Austria
8dd40a20-de67-0133-95b6-0a81e8b09a82,AT,non-urban,high,,female,34 years old,26_39,,,Austria
5586f290-d972-0133-f6e5-0a81e8b09a82,AT,urban,high,1f8576bdffa64f492405d02b842c41a6,male,40 years old,40_65,Data Management Associate,data management associate,Austria
cd77ebc0-de28-0133-657e-0a81e8b09a82,AT,urban,medium,07b7555fa790debaf5b04d1409ad5f11,female,62 years old,40_65,Database Security Administrator,database security administrator,Austria
dcab3aa0-dc79-0133-412b-0a81e8b09a82,BE,urban,medium,,female,48 years old,40_65,,,Belgium
2fb4da70-dcef-0133-cafd-0a81e8b09a82,BE,urban,low,,female,46 years old,40_65,,,Belgium
