title,normalized_job_title,normalized_job_code
,,
Automatic Data Processing Planner,automatic data processing planner,861a9b9151e11362eb3c77ca914172d0
Data Coordinator,data coordinator,049a3f3a2b5f85cb2971ba77ad66e10c
Database Developer,database developer,f4b2fb1aa40f661488e2782b6d57ad2f
Data Entry Specialist,data entry specialist,27af8700f5577cec835acee2cb90a2ff
Database Architect,database architect,c1b670eba9ccb65e7c99f7da116d5b9c
Geographic Information Systems Database Administrator (GIS Database Administrator),geographic information systems database administrator gis database administrator,d71c4164c99a5f9bca773e755a72f40f
Crime Data Specialist,crime data specialist,2ee80cf30e2483dfe0947adc0428f8c5
Data Communications Software Consultant,data communications software consultant,897ef18a9321616495831a4b4b0c1bb2
Data Security Analyst,data security analyst,a003702c0cea282e17967772dd83de5e
Database Marketing Analyst,database marketing analyst,04c82eae29e1c4a30eac0710b74ab276
Computer or Data Processing Systems Consultant,computer or data processing systems consultant,fcaf4aac737e53ad24b9f32f08b8740f
Database Development and Administration Project Manager,database development and administration project manager,3833bd699e7afe4665b595f282da0387
"Naval Tactical Data System--Combat Information Center Watch Officer, General",naval tactical data systemcombat information center watch officer general,19e384e977796c25780d8c28b12089c4
Data Coder Operator,data coder operator,474b962c13632a04e42a546be4f11dbb
Automatic Data Processing Customer Liaison (ADP Customer Liaison),automatic data processing customer liaison adp customer liaison,dac2e921c1f887d9efc4c06fa33c1397
Data Entry Representative,data entry representative,996da29c84f5eed00da40c230f4c4078
Data Processing Auditor,data processing auditor,cc2b26cc436bea36bda3bdd7367c411a
Maintenance Data Analyst,maintenance data analyst,25fe195cbf915c0824fa6c44e6d0008c
Automatic Data Processing Systems Security Specialist (ADP Systems Security),automatic data processing systems security specialist adp systems security,76385cb24e831b3364279b9de5641d8f
Database Engineer,database engineer,16b67d7f57698455aefbc1ae1b358b50
Data Processing Systems Project Planner,data processing systems project planner,b24ece3300d2f8ab34f9553e531183d6
Database Administration Associate,database administration associate,5db2c8d6539f983e1ca3d7c5b939e190
Data Warehousing Engineer,data warehousing engineer,36675c937946c8a4fc5de7d0b4c850de
Data Warehouse Developer,data warehouse developer,847165cfda6b1dc82ae22b967da8af2f
Database Software Technician,database software technician,2ca138b991c50dc6696238e5ad800142
Data Officer,data officer,775190277a849cba701b306a7b374c0a
Data Keyer,data keyer,022d0e3a40aa3e29bca6851542b27842
Geographic Information Systems Data Specialist (GIS Data Specialist),geographic information systems data specialist gis data specialist,375017ea3a1a97f5ea676def873bb25b
Database Administration Manager,database administration manager,1dd2fdc8a3981f2a1d8f0ca173952bb8
Database Security Expert,database security expert,e605336f5a43949cb6b18054fd1937f1
Data Systems Manager,data systems manager,800b621aab5dac18f4caef621fa43a49
Data Warehousing Manager,data warehousing manager,d06dfb43c95b585a89ae556c9221b573
Geographic Information Systems Data Administrator (GIS Data Administrator),geographic information systems data administrator gis data administrator,a12a16280e22220f9354333f6fe1b22a
Data Base Design Analyst,data base design analyst,477b53ef09d37f098d5ed74f47fcbaec
Director of Data Operations,director of data operations,e2f68bf748aea2c7d2254550c0c92b23
Database Modeler,database modeler,45033f83b6e0309eca9bcd76917f15d0
Data Administrator,data administrator,141ddda0f613da65a280521247de0e9f
Field Artillery Automated Tactical Data System Specialist,field artillery automated tactical data system specialist,3ddea1b52e520996e4ec9fb70dc8b86b
Database Design Analyst,database design analyst,6408c0d7c7faa4ced47fbc8474698126
Database Security Administrator,database security administrator,07b7555fa790debaf5b04d1409ad5f11
Database Manager,database manager,a4d5b8b38f9513825d0d94a981ebe962
Geographic Information Systems Data Manager (GIS Data Manager),geographic information systems data manager gis data manager,5e93fd1a58c8a67b295f69d87d1a940d
Clinical Data Specialist,clinical data specialist,122f24bc911a79c26ca66210557dda07
Data Management Information Technology Specialist,data management information technology specialist,76b0ba6af40991629e20dff36edd02a5
Internet Database Specialist,internet database specialist,970eb38c7b3eb080466052ea994af189
GPS Field Data Collector (Global Positioning System Field Data Collector),gps field data collector global positioning system field data collector,cf2d4db3c258faa2499bdeeeed6721a5
