Country,Habitat,title,Quantity,Percentage
Spain,non-urban,Automatic Data Processing Customer Liaison (ADP Customer Liaison),2,0.035%
Spain,non-urban,Automatic Data Processing Planner,1,0.018%
Spain,non-urban,Automatic Data Processing Systems Security Specialist (ADP Systems Security),2,0.035%
Spain,non-urban,Clinical Data Management Manager (CDM Manager),1,0.018%
Spain,non-urban,Computer or Data Processing Systems Consultant,1,0.018%
Spain,non-urban,Data Architect,1,0.018%
Spain,non-urban,Data Collector,1,0.018%
Spain,non-urban,Data Communications Software Consultant,1,0.018%
Spain,non-urban,Data Compiler,1,0.018%
Spain,non-urban,Data Coordinator,1,0.018%
Spain,non-urban,Data Entry Associate,1,0.018%
Spain,non-urban,Data Entry Machine Operator,2,0.035%
Spain,non-urban,Data Entry Specialist,1,0.018%
Spain,non-urban,Data Management Associate,1,0.018%
Spain,non-urban,Data Miner,2,0.035%
Spain,non-urban,Data Modeling Specialist,2,0.035%
Spain,non-urban,Data Processing Auditor,1,0.018%
Spain,non-urban,Data Processing Clerk,1,0.018%
Spain,non-urban,Data Processing Consultant,1,0.018%
Spain,non-urban,Data Processing Equipment Repairer,1,0.018%
Spain,non-urban,Data Processing Systems Analyst,1,0.018%
Spain,non-urban,Data Processing Systems Project Planner,1,0.018%
Spain,non-urban,Data Recovery Planner,1,0.018%
Spain,non-urban,Data Sciences Director,1,0.018%
Spain,non-urban,Data Security Administrator,2,0.035%
Spain,non-urban,Data Security Analyst,2,0.035%
Spain,non-urban,Data Storage Specialist,1,0.018%
Spain,non-urban,Data Systems Manager,1,0.018%
Spain,non-urban,Data Warehouse Analyst,1,0.018%
Spain,non-urban,Data Warehouse Architect,1,0.018%
Spain,non-urban,Data Warehouse Specialist,2,0.035%
Spain,non-urban,Data Warehousing Engineer,1,0.018%
Spain,non-urban,Database Administration Manager,3,0.053%
Spain,non-urban,Database Architect,1,0.018%
Spain,non-urban,Database Coordinator,3,0.053%
Spain,non-urban,Database Designer,3,0.053%
Spain,non-urban,Database Development Project Manager,1,0.018%
Spain,non-urban,Database Development and Administration Project Manager,2,0.035%
Spain,non-urban,Database Engineer,1,0.018%
Spain,non-urban,Database Management System Specialist (DBMS Specialist),3,0.053%
Spain,non-urban,Database Manager,1,0.018%
Spain,non-urban,Database Marketing Analyst,2,0.035%
Spain,non-urban,Database Modeler,1,0.018%
Spain,non-urban,Database Security Administrator,1,0.018%
Spain,non-urban,Database Security Expert,2,0.035%
Spain,non-urban,Database Software Technician,2,0.035%
Spain,non-urban,Database Specialist,1,0.018%
Spain,non-urban,Database Tester,1,0.018%
Spain,non-urban,Databases Computer Consultant,1,0.018%
Spain,non-urban,Geographic Information Systems Data Administrator (GIS Data Administrator),1,0.018%
Spain,non-urban,Geographic Information Systems Data Manager (GIS Data Manager),3,0.053%
