Country,Habitat,title,Quantity,Percentage
Austria,non-urban,Automatic Data Processing Customer Liaison (ADP Customer Liaison),1,0.018%
Austria,non-urban,Automatic Data Processing Planner,1,0.018%
Austria,non-urban,Automatic Data Processing Systems Security Specialist (ADP Systems Security),1,0.018%
Austria,non-urban,Clinical Data Specialist,1,0.018%
Austria,non-urban,Computer or Data Processing Systems Consultant,1,0.018%
Austria,non-urban,Data Administrator,1,0.018%
Austria,non-urban,Data Base Design Analyst,1,0.018%
Austria,non-urban,Data Coder Operator,1,0.018%
Austria,non-urban,Data Communications Software Consultant,1,0.018%
Austria,non-urban,Data Coordinator,2,0.035%
Austria,non-urban,Data Entry Specialist,1,0.018%
Austria,non-urban,Data Processing Auditor,3,0.053%
Austria,non-urban,Data Security Analyst,1,0.018%
Austria,non-urban,Data Warehouse Developer,1,0.018%
Austria,non-urban,Data Warehousing Engineer,1,0.018%
Austria,non-urban,Database Design Analyst,1,0.018%
Austria,non-urban,Database Development and Administration Project Manager,1,0.018%
Austria,non-urban,Database Engineer,2,0.035%
Austria,non-urban,Database Marketing Analyst,1,0.018%
Austria,non-urban,Database Security Administrator,1,0.018%
Austria,non-urban,Database Software Technician,2,0.035%
Austria,non-urban,Databases Computer Consultant,1,0.018%
Austria,non-urban,Director of Data Operations,1,0.018%
Austria,non-urban,GPS Field Data Collector (Global Positioning System Field Data Collector),1,0.018%
Austria,non-urban,Geographic Information Systems Data Administrator (GIS Data Administrator),1,0.018%
Austria,non-urban,Geographic Information Systems Data Manager (GIS Data Manager),1,0.018%
Austria,non-urban,Geographic Information Systems Database Administrator (GIS Database Administrator),1,0.018%
Austria,non-urban,Internet Database Specialist,1,0.018%
Austria,non-urban,"Naval Tactical Data System--Combat Information Center Watch Officer, General",1,0.018%
Austria,urban,Automatic Data Processing Customer Liaison (ADP Customer Liaison),1,0.018%
Austria,urban,Automatic Data Processing Planner,1,0.018%
Austria,urban,Automatic Data Processing Systems Security Specialist (ADP Systems Security),1,0.018%
Austria,urban,Computer or Data Processing Systems Consultant,2,0.035%
Austria,urban,Crime Data Specialist,1,0.018%
Austria,urban,Data Base Design Analyst,1,0.018%
Austria,urban,Data Communications Software Consultant,1,0.018%
Austria,urban,Data Entry Representative,1,0.018%
Austria,urban,Data Keyer,1,0.018%
Austria,urban,Data Management Associate,1,0.018%
Austria,urban,Data Management Information Technology Specialist,1,0.018%
Austria,urban,Data Officer,2,0.035%
Austria,urban,Data Processing Systems Project Planner,1,0.018%
Austria,urban,Data Security Analyst,1,0.018%
Austria,urban,Data Systems Manager,1,0.018%
Austria,urban,Data Warehousing Engineer,4,0.07%
Austria,urban,Data Warehousing Manager,1,0.018%
Austria,urban,Database Administration Associate,1,0.018%
Austria,urban,Database Administration Manager,1,0.018%
Austria,urban,Database Architect,1,0.018%
Austria,urban,Database Coordinator,1,0.018%
Austria,urban,Database Developer,1,0.018%
Austria,urban,Database Manager,1,0.018%
Austria,urban,Database Modeler,1,0.018%
Austria,urban,Database Security Administrator,2,0.035%
Austria,urban,Database Security Expert,1,0.018%
Austria,urban,Electronic Data Processing Auditor (EDP Auditor),1,0.018%
Austria,urban,Field Artillery Automated Tactical Data System Specialist,1,0.018%
Austria,urban,Geographic Information Systems Data Specialist (GIS Data Specialist),1,0.018%
Austria,urban,Geographic Information Systems Database Administrator (GIS Database Administrator),3,0.053%
Austria,urban,Maintenance Data Analyst,1,0.018%
Austria,urban,"Naval Tactical Data System--Combat Information Center Watch Officer, General",1,0.018%
Belgium,non-urban,Automatic Data Processing Planner,1,0.018%
Belgium,non-urban,Automatic Data Processing Systems Security Specialist (ADP Systems Security),1,0.018%
Belgium,non-urban,Clinical Data Associate,3,0.053%
Belgium,non-urban,Data Administrator,1,0.018%
Belgium,non-urban,Data Architect,1,0.018%
Belgium,non-urban,Data Base Design Analyst,1,0.018%
Belgium,non-urban,Data Communications Analyst,1,0.018%
Belgium,non-urban,Data Entry Representative,1,0.018%
Belgium,non-urban,Data Entry Specialist,1,0.018%
Belgium,non-urban,Data Management Information Technology Specialist,1,0.018%
Belgium,non-urban,Data Manager,1,0.018%
Belgium,non-urban,Data Officer,2,0.035%
Belgium,non-urban,Data Processing Consultant,1,0.018%
Belgium,non-urban,Data Processing Manager,1,0.018%
Belgium,non-urban,Data Recovery Planner,1,0.018%
Belgium,non-urban,Data Scientist,1,0.018%
Belgium,non-urban,Data Security Administrator,1,0.018%
Belgium,non-urban,Data Security Analyst,1,0.018%
Belgium,non-urban,Data Systems Manager,1,0.018%
Belgium,non-urban,Data Warehouse Developer,1,0.018%
Belgium,non-urban,Data Warehouse Specialist,1,0.018%
Belgium,non-urban,Database Consultant,1,0.018%
Belgium,non-urban,Database Design Analyst,1,0.018%
Belgium,non-urban,Database Engineer,1,0.018%
Belgium,non-urban,Database Management System Specialist (DBMS Specialist),1,0.018%
Belgium,non-urban,Database Manager,1,0.018%
Belgium,non-urban,Database Marketing Analyst,1,0.018%
Belgium,non-urban,Database Software Technician,1,0.018%
Belgium,non-urban,Director of Data Operations,1,0.018%
Belgium,non-urban,Electronic Data Processing Auditor (EDP Auditor),1,0.018%
Belgium,non-urban,Field Artillery Automated Tactical Data System Specialist,1,0.018%
Belgium,non-urban,Geographic Information Systems Data Manager (GIS Data Manager),1,0.018%
Belgium,non-urban,Health Data Analyst,2,0.035%
Belgium,non-urban,Log Data Technician,1,0.018%
Belgium,non-urban,Medical Data Analyst,1,0.018%
Belgium,urban,Automatic Data Processing Customer Liaison (ADP Customer Liaison),1,0.018%
Belgium,urban,Automatic Data Processing Planner,1,0.018%
Belgium,urban,Automatic Data Processing Planner (ADP Planner),1,0.018%
Belgium,urban,Automatic Data Processing Systems Security Specialist (ADP Systems Security),1,0.018%
